Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        6     0.00     0.00  char* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*)
  0.00      0.00     0.00        6     0.00     0.00  char* std::__copy_move_a1<false, char const*, char*>(char const*, char const*, char*)
  0.00      0.00     0.00        6     0.00     0.00  char* std::__copy_move_a2<false, char const*, char*>(char const*, char const*, char*)
  0.00      0.00     0.00        6     0.00     0.00  char* std::uninitialized_copy<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*)
  0.00      0.00     0.00        6     0.00     0.00  char* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*, char>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*, std::allocator<char>&)
  0.00      0.00     0.00        6     0.00     0.00  char* std::copy<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*)
  0.00      0.00     0.00        6     0.00     0.00  std::vector<char, std::allocator<char> > const& std::forward<std::vector<char, std::allocator<char> > const&>(std::remove_reference<std::vector<char, std::allocator<char> > const&>::type&)
  0.00      0.00     0.00        6     0.00     0.00  void std::_Destroy<std::vector<char, std::allocator<char> > >(std::vector<char, std::allocator<char> >*)
  0.00      0.00     0.00        6     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::vector<char, std::allocator<char> > >::new_allocator(__gnu_cxx::new_allocator<std::vector<char, std::allocator<char> > > const&)
  0.00      0.00     0.00        4     0.00     0.00  std::allocator<std::vector<char, std::allocator<char> > >::allocator(std::allocator<std::vector<char, std::allocator<char> > > const&)
  0.00      0.00     0.00        4     0.00     0.00  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<int, int> >::pair<char const (&) [5], true>(char const (&) [5], std::pair<int, int> const&)
  0.00      0.00     0.00        4     0.00     0.00  std::pair<int, int>::pair<int, int, true>(int&&, int&&)
  0.00      0.00     0.00        4     0.00     0.00  char const (&std::forward<char const (&) [5]>(std::remove_reference<char const (&) [5]>::type&)) [5]
  0.00      0.00     0.00        3     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::vector<char, std::allocator<char> >*>(std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*)
  0.00      0.00     0.00        3     0.00     0.00  std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        3     0.00     0.00  std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_M_deallocate(std::vector<char, std::allocator<char> >*, unsigned long)
  0.00      0.00     0.00        3     0.00     0.00  std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::~_Vector_base()
  0.00      0.00     0.00        3     0.00     0.00  std::pair<int, int>::pair<int&, int&, true>(int&, int&)
  0.00      0.00     0.00        3     0.00     0.00  void std::_Destroy<std::vector<char, std::allocator<char> >*>(std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*)
  0.00      0.00     0.00        3     0.00     0.00  void std::_Destroy<std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> > >(std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*, std::allocator<std::vector<char, std::allocator<char> > >&)
  0.00      0.00     0.00        2     0.00     0.00  ConnectFourBoard::dropDiscToColumn(int, int, char)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::vector<char, std::allocator<char> > >::new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::vector<char, std::allocator<char> > >::_M_max_size() const
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<std::vector<char, std::allocator<char> > >::allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_Vector_impl::_Vector_impl(std::allocator<std::vector<char, std::allocator<char> > > const&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_Vector_impl_data::_M_swap_data(std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_Vector_impl_data&)
  0.00      0.00     0.00        2     0.00     0.00  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<int, int> >::pair<char const (&) [7], true>(char const (&) [7], std::pair<int, int> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<int, int> >::pair<char const (&) [4], true>(char const (&) [4], std::pair<int, int> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::~vector()
  0.00      0.00     0.00        2     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00        2     0.00     0.00  char const (&std::forward<char const (&) [4]>(std::remove_reference<char const (&) [4]>::type&)) [4]
  0.00      0.00     0.00        2     0.00     0.00  char const (&std::forward<char const (&) [7]>(std::remove_reference<char const (&) [7]>::type&)) [7]
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  ConnectFourBoard::dropDiscToGap(int, int, char)
  0.00      0.00     0.00        1     0.00     0.00  ConnectFourBoard::dropDiscToRow(int, int, char)
